drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
Noocaf Smart Coffee,236.588,0,160,Coffee,0,0.67628113
Ocean Spray Brew,236.588,30,40,Coffee,0.126802712,0.169070283
Purity Coffee,236.588,0,163,Coffee,0,0.688961401
Revv Coffee Pods,236.588,0,127,Coffee,0,0.536798147
Robusta Coffee,236.588,0,265,Coffee,0,1.120090622
Starbucks 2X Coffee Pods,236.588,0,260,Coffee,0,1.098956836
Starbucks Cordusio Mocha,236.588,130,155,Coffee,0.549478418,0.655147345
Starbucks Verismo Coffee Pods,236.588,0,60,Coffee,0,0.253605424
Starbucks Via Ready Brew,236.588,0,135,Coffee,0,0.570612203
Steep 18 Cold Brew,236.588,0,90,Coffee,0,0.380408136
Taster's Choice Instant Coffee,236.588,0,98,Coffee,0,0.414222192
Voila Instant Coffee,236.588,0,100,Coffee,0,0.422675706
Waka Decaf Instant Coffee,236.588,0,4,Coffee,0,0.016907028
Waka Indian Instant Coffee,236.588,0,70,Coffee,0,0.295872994
Waka Instant Coffee,236.588,0,70,Coffee,0,0.295872994
Whipped (Dalgona) Coffee,236.588,48,105,Coffee,0.202884339,0.443809492
Mushroom Coffee,207.0145,5,40,Coffee,0.024152898,0.19322318
Cafe Con Leche,177.441,56,154,Coffee,0.315597861,0.867894117
Choffy (roasted cacao),177.441,0,23,Coffee,0,0.12962055
COGO Caffeinated Hot Chocolate,177.441,110,98,Coffee,0.619924369,0.552296256
Dripdash Kyoto Coffee,177.441,0,225,Coffee,0,1.268027119
Long Black,177.441,2,154,Coffee,0.011271352,0.867894117
Nescafe 3 in 1 Instant Coffee,177.441,74,50,Coffee,0.41704003,0.281783804
Gloria Jean's Coffee,59.975058,0,67,Coffee,0,1.117131058
Biggby Espresso,59.147,0,100,Coffee,0,1.690702825
Greek Coffee (Metrios),59.147,25,50,Coffee,0.422675706,0.845351413
Turkish Coffee,59.147,20,50,Coffee,0.338140565,0.845351413
PG Tips Black Tea,200.50833,0,50,Tea,0,0.249366198
Sencha Green Tea Shot,189.2704,0,40,Tea,0,0.211337853
Xingtea Iced Green Tea,694.97725,50,110,Tea,0.071944801,0.158278562
Gold Peak Tea,547.10975,0,48,Tea,0,0.087733768
Pure Leaf Iced Tea,547.10975,160,69,Tea,0.292445894,0.126117292
Honest Iced Tea,499.79215,70,63,Tea,0.140058222,0.1260524
Nestea Iced Tea,499.79215,160,23,Tea,0.320133079,0.04601913
Oi Ocha Green Tea,499.79215,5,60,Tea,0.010004159,0.120049905
Teas' Tea Oolong,499.79215,0,70,Tea,0,0.140058222
Guayaki Canned Yerba Mate,458.38925,120,150,Tea,0.261786244,0.327232805
Inko's White Tea Energy,458.38925,100,165,Tea,0.218155203,0.359956085
Master Brew Kombucha,449.5172,60,76,Tea,0.133476539,0.169070283
McDonalds Sweet Tea,946.352,160,100,Tea,0.169070283,0.105668927
Dunkin' Donuts Iced Tea,709.764,230,63,Tea,0.324051375,0.088761898
Fuze Iced Tea,709.764,160,24,Tea,0.225427043,0.033814057
Peace Tea,680.1905,150,23,Tea,0.220526455,0.033814057
Lipton Iced Tea,591.47,110,25,Tea,0.185977311,0.042267571
SoBe Green Tea,591.47,200,7,Tea,0.338140565,0.01183492
Arizona Iced Tea,473.176,190,30,Tea,0.401541921,0.063401356
Biggby Iced Tea,473.176,0,38,Tea,0,0.080308384
Chick-fil-A Iced Tea,473.176,120,62,Tea,0.253605424,0.131029469
Guayaki Yerba Mate Bottled Tea,473.176,80,140,Tea,0.169070283,0.295872994
Snapple Tea,473.176,150,37,Tea,0.31700678,0.078195006
Southern Sweet Tea,473.176,128,41,Tea,0.270512452,0.08664852
Taiwanese Milk Tea,473.176,299,151,Tea,0.631900181,0.319120158
Wendy's Iced Tea,473.176,5,32,Tea,0.010566893,0.067628113
Xing Craft Brew,473.176,5,120,Tea,0.010566893,0.253605424
